,ideology,sentence
407,Liberal,"Using charts # 3 and # 4 , one can conclude that the current United States economy would lose nearly two full percentage points of growth every year when compared with the 1982-83 recovery , about one percent based upon the added level of government debt and another percent based upon lowered savings rates ."
408,Liberal,"Indeed , as we shall shortly see , some of the most important innovations in business in the last three decades have centered not on making the economy more efficient but on how better to ensure monopoly power or how better to circumvent government regulations intended to align social returns and private rewards ."
409,Liberal,"From the `` culture of greed , '' as Kevin Phillips put it , and the obscene rich\/poor gap to unilateralism and a deadly and costly war , family and community disintegration , immoral business and political practices , and economic collapse , sources of self-respect and respect in the world are hard to find ."
410,Liberal,Americans might do well to question how they define progress ; to stop confusing standard of living with standard of materialism ; to hold their government accountable for the policies it pursues in their names ; to call for an end to the permanent war economy ; and to demonstrate faith that their nation can thrive outside a hyper-power framework .
411,Liberal,"The end of the Cold War resulted in a decade of lower military expenditures , the commercialization of the Internet fueled the expansion of the high-tech industry , and low interest rates and liberal lending policies created the `` bubble '' in the housing market that finally burst in 2007-08 , triggering the collapse of much of the nation 's finance industry ."
412,Liberal,"In Tom DeLay 's Houston district and Bob Ney 's east Ohio district , the opportunity has arisen primarily because the incumbent Republican has been forced out by scandal ; Democrats may win , but they will have difficulty retaining these seats ."
413,Liberal,"Republicans need a positive , active agenda on health care , and racial healing , and the economic empowerment of the poor , and the fight against global disease , and the struggles of disadvantaged youth , and energy independence , and a humane bioethics ."
414,Liberal,Joffe then turned President Reagan 's dictum about `` peace through strength '' on its head by arguing that `` a great power must carry great burdens or else it stops being one . ''
415,Liberal,"In an earlier book , The Great Unraveling ( 2003 ) , he warned of the dangers of deficit spending when the economy is in good condition , rightly excoriating the Bush administration for its massive defense spending ."
416,Liberal,"Senator Sherrod Brown ( D-OH ) in The Myths of Free Trade has documented that U.S. investment is increasingly shifting toward authoritarian nations , where independent labor unions are crushed , critical journalists imprisoned or `` disappeared , '' and government policy is focused on attracting foreign investors through holding down wages and offering tax subsidies ."
417,Liberal,"Supporters of federal health care reform argue that the problems associated with these regulations can be addressed with the addition of an individual mandate , a requirement that everyone purchase health insurance ."
418,Liberal,"And as a result of what a recent Business Week cover story called the `` medical debt revolution , '' providers have begun turning over unpaid bills to aggressive collection companies charging usurious interest rates and taking advantage of the new bankruptcy law that makes it difficult for people overwhelmed with debt to start over . ''"
419,Liberal,"That tax will create an inbuilt price advantage for all the untaxed energy sources , which could then battle for market share on their competitive merits ."
420,Liberal,"Military confrontation , on the other hand , has only a certainty of creating a loss for all ."
421,Liberal,"As the war and revolution were drastically changing class relations in the United States , the war also had a major impact in the class war between the capitalists and the working class in Britain ."
422,Liberal,The hopeful explanation is ignorance made possible by the elite fealty to a failed conception of free trade and the extraordinary secrecy that has forestalled the external alarms that might otherwise sound .
423,Liberal,"It is a true testament to economic power that after the 2008 financial crisis , the Deepwater Horizon disaster , and the tsunami of mortgage fraud by the great banks , all within two years , the business community is outraged when government figures issue hostile rhetoric or threaten mild re-regulation ."
424,Liberal,The private insurers understood that the surest way to increase profits was n't to increase efficiencies but to avoid patients with serious or chronic health problems .
425,Liberal,"These two highly successful examples clearly demonstrate the necessary intersection among three critical factors : qualified and motivated staff , leadership committed to improving the academic achievement for all students , and funding adequate to ensure that poor and challenged students will succeed academically at a high level ."
426,Liberal,"Most individuals reportedly killed by coalition forces were women and children ... Making conservative assumptions , we think that about 100,000 excess deaths or more have happened since the 2003 invasion of Iraq ."
427,Liberal,Forcing middle-class workers to bear a greater share of the cost of government weakens their support for needed investments and stirs resentment toward those who depend on public services the most .
428,Liberal,"Civic duty demands we question and challenge our government , charity demands we treat foreigners with care and respect , and tolerance demands we be respectful to other nations ."
429,Liberal,"Not only did the war make internal dis-sent easier to repress , but Rumsfeld and his allies were also quick to claim that the war in Afghanistan , with its roaming Special Forces teams and high-tech targeting systems , was an NCW success story ."
430,Liberal,"Even though the near collapse of the financial system has opened a debate in the mainstream about whether the banks should be nationalized , Pollin rejects this as too risky , arguing that failures and scandals would continue under state control and that public anger might be shifted from Wall Street to the federal government ."
431,Liberal,"The company cut their promised wages and fired their leader , Joseph Jacobs , when workers protested ."
432,Liberal,The Bush administration 's manifest failures and the Democrats ' triumph in the 2006 elections have created a new opening for liberal argument .
433,Liberal,"`` This is a technology that has the capacity to generate truly staggering environmental impacts , and most are not good , '' Richard Charter , an environmentalist with the group Environmental Defense , told the San Antonio Express-News ."
434,Liberal,Abstract : Johnston shows why lowincome people using the earned income tax credit are far more likely to be audited than rich people using baroque tax shelters .
435,Liberal,"Making matters worse , the president proposed budgets that simultaneously cut funding for alternative fuel and hybrid-engine research while creating a new , $ 100,000 tax write-off for people who purchase gas-guzzling Hummers ."
436,Liberal,"Washington could improve or expand Head Start , as well as encourage states to expand pre-K access and improve quality-helping ensure that children in Indiana reap the same benefits from early learning as kids in Oklahoma ."
437,Liberal,"But cellulosic ethanol , though quite promising , is not yet commercial , while Brazilian ethanol is , well , Brazilian : It 's effectively barred from our market by a 54 cents per gallon tariff , which U.S. lawmakers defend on the grounds of energy independence , but which coincidently leaves corn ethanol , with its massive federal subsidy , as pretty much the only game in town ."
438,Liberal,"Of course the working class objected to the new freedoms of the Sexual Revolution , this argument ran , because they were more religious and socially conservative ( read : more ignorant ) than their better-educated peers , and thus were easily offended by the brave new age of Deep Throat , abortion on demand , and women in the workplace ."
439,Liberal,"Donated free primary care for the poor would likely generate great savings , both through efficiency and through less use by the poor of hospital emergency rooms ( up to S 14 billion per year ) which must treat everyone under federal law whether the patients can pay or not ."
440,Liberal,"As Becker explained , the Court 's defacto elimination of remedies creates `` strong incentives for HMOs to deny claims in bad faith or otherwise ` stiff participants ."
441,Liberal,"Discussing Cheney en route to a Tea Party event in Paducah , Rand did not hesitate to voice his opinion about his Republican foes : `` They are the true neocons , they are ` conservative ' because they 're military hawks , but they are not conservative , because they are not fiscally conservative ."
442,Liberal,Mother Jones could better use its valuable space documenting the abuses that occur against gays and lesbians and that receive far too little coverage .
443,Liberal,"he revisited the Great Depression , especially the secondary depression that began in 1937 , when Franklin Roosevelt raised taxes and cut spending and the Federal Reserve ( again ) contracted the money supply ."
444,Liberal,Lovera is also convinced that the lack of sick leave for workers creates a food danger .
445,Liberal,"With virtually the whole Republican Party aligned with McCarthy , the hearings , unlike those held sixteen years later , were bitterly partisan and tainted by expressions of doubt about the very loyalty of the governing party ."
446,Liberal,"He argues , for example , that oligarchs have an interest in pushing tax obligations down to the mass affluent through a lower threshold for the highest tax bracket , which deflects some of the burden and may win the super-rich more allies in opposing higher marginal rates . ''"
447,Liberal,"Workers ' compensation violations are now seen as a possible tip-off that other laws are being ignored , and the agency is looking at research showing correlations between health violations and labor problems , an issue well documented in the restaurant industry ."
448,Liberal,"This summer , Ross Douthat and Reihan Salam are set to publish Grand New Party , in which they argue that the Republican Party must address the economic needs and aspirations of its middle-class base , transforming itself into the party of Sam 's Club rather than the country club ."
449,Liberal,"Earned success is also what parents experience when their children do wonderful things , what social innovators feel when they change lives , and what artists feel when they create something of beauty ."
450,Liberal,"Unions have always faced a comparable threat from technology ( automation ) , but the implementation of that threat requires effort , imagination , and expense , and the creation of new technologies generates jobs , often within the firm , which can in their turn be unionized ."
451,Liberal,"He 's angry , he 's gon na cut this country down to size , he 's gon na make it pay for all the multicultural mistakes that it has made , its mistreatment of minorities ."
452,Liberal,"Using faith traditions to justify a mean-spirited strategy of abandoning people to their own private resources is neither charity nor justice , and it is a practice that has no place in Judaism , Christianity , Islam , or any of the world 's faith traditions ."
453,Liberal,"They were vulnerable to these predatory products for the same reason they 're vulnerable to payday loans and other quick-fix , debt-trap credit - because asset-poor black families of all classes have far more insecure economic lives and fewer choices ."
454,Liberal,"The real isolationists are those who choose to use force overseas to promote democracy , rather than seeking change through diplomacy , engagement , and by setting a positive example ."
455,Liberal,"The proposal also includes creating an orderly program for those who opt for permanent migration and settlement , as well as organizing an integrated labor management system in North America in which vacancies created in Mexico by departing migrants are filled , in turn , by Central Americans - thereby strengthening local economies and thus reducing migratory pressures leading to U.S.-bound unauthorized migration ."
456,Liberal,"Energy companies have made it abundantly clear that any forward movement on CCS , as well as other clean-coal technology , depends on the government 's shouldering a good share of the expense ."
457,Liberal,"First , it is needed as a means of creating massive numbers of new customers who would buy the goods made in the capitalist countries .7 As outlined earlier , space technology has extended and deepened this process , allowing an increasing number of people to become integral to the further expansion of global capitalism ."
458,Liberal,"At the same time , libertarians following in the footsteps of classical liberal political forces in Europe -- Germany 's Free Democratic Party comes to mind -- need to draw an outline of a pragmatic , less militarized , and less interventionist foreign policy , while still working to strengthen political liberty and free markets at home ."
459,Liberal,"Those are values we all share , and while the Democratic Party has won a great victory tonight , we do so with a measure of humility and determination to heal the divides that have held back our progress ."
460,Liberal,"\* Active , everyday citizen participation and organizing : Shared governance and deliberative democracy can improve governmental decisions and ensure popular satisfaction with outcomes ; card-check elections for unions and other labor-law reforms can empower workers ; changes in the tax code would facilitate community organizing ."
461,Liberal,"McKibben argues that while our preoccupation with utilitarian economics has produced unprecedented growth and material wealth , it has faltered when it comes to providing human happiness and satisfaction ."
462,Liberal,"Our intent with The Rich and the Rest of Us is to make us think about the pervasiveness of poverty , its real causation , and the threat it poses to our democracy ."
463,Liberal,"Far from blaming the poor for their ills , he wrote , `` the real explanation of why the poor are where they are is that they made the mistake of being born to the wrong parents , in the wrong section of the country , in the wrong industry , or in the wrong racial or ethnic group ."
464,Liberal,"Some other studies are less encouraging than DiNardo 's , but even if the substitute goods effect is smaller than his research suggests -- if , say , a 30 percent increase in cannabis use led to a 5 or 10 percent drop in drinking -- it would still be a strong argument in favor of legalization ."
465,Liberal,"He sounds tough-minded and sure of himself , and he sounds angry about the price of gas , but he 's channeling that anger toward faceless businessmen manipulating the energy market ( read : Republicans ) ."
466,Liberal,"The Bhopal plant workers ' union had protested the hazardous conditions and posted signs throughout surrounding communities that read , `` Lives of thousands of workers and citizens in danger because of poisonous gas ."
467,Liberal,"Instead of seeking lowest-cost contracts , the federal government could pursue `` best value '' contracts with companies that win points on their bid for being law-abiding , socially responsible businesses that treat workers well ."
468,Liberal,"On the other hand , the Republican budget that was released last Friday is severe and irresponsible because it gives tax benefits for the wealthiest few , while destroying jobs and harming middle class families , young adults , seniors and even veterans ."
469,Liberal,"`` Obama mentioned a number of initiatives where foundations have played an important reform-agenda role , ( for example ) Robert Wood Johnson Foundation and Kaiser on health care ."
470,Liberal,"To help defray the cost of expanding coverage -- and to help make medical care more affordable generally -- reformers have proposed creating electronic medical records , studying which treatments work best , and taking other steps that would make the business of health care more efficient while cutting down on unnecessary medical treatments ."
471,Liberal,"The corporation long ago decided it was best to flex its immense muscle as discreetly as possible , because almost all publicitywhether it 's news of gas prices , climate change , or congressional fights over industry subsidies - is bad ."
472,Liberal,"But , contrary to the public consensus that the stimulus utterly failed , the consensus of economic analysts is that it created or saved between two million and three million jobs compared to the number that would have been lost without it ."
473,Liberal,Committee investigators have established that a violation of corporate duties led to gross abuses of tax laws and other federal regulations .
474,Liberal,"Last year , the Rocky Mountain Institute and the Natural Resources Defense Council released studies that demonstrated how biofuels , coupled with strong efficiency and smart-growth policies , could dramatically reduce , if not eliminate , the United States ' need for oil ."
475,Liberal,"Danielle Brian , executive director of the Project on Government Oversight , says the program is `` exploiting '' native Alaskans because only `` tiny amounts '' from the huge profits in government contracts trickle down to the intended beneficiaries of the program ."
476,Liberal,"Those that stand to benefit argue that REDD just needs a few safeguards to make it work , but others like the Indigenous Environmental Network insist that REDD must be rejected ."
477,Liberal,"Here 's a radical , inclusive idea to give nearly every U. S. worker paid family and medical leave : allow workers to trade future Social Security benefits to pay for leaves covered by FMLA-to care for a new child , to care for a sick family member , or to recover from a serious illnessregardless of how small an employer is ."
478,Liberal,"The inclusion of these families in child tax credit benefits was in the original Senate package but was stripped out in a late-night conference committee , reportedly to make room for more dividend and capital gains tax cuts for wealthier Americans ."
479,Liberal,"THE OLD LIBEBALISM GOT AMERICA OUT OF DEPRESSION , won the war against fascism , built the middle class , created global alliances , and made education and health care far closer to universal than they had ever been ."
480,Liberal,"At a 2002 black-tie dinner hosted by the Becket Fund , a conservative legal organization , Friess delivered a rambling speech titled `` Tolerance is not Always Good , '' in which he chastised the gay community for intolerance toward Christian values and seemed to blame liberals for the school shootings at Columbine ."
481,Liberal,Much of this book has been devoted to destroying this myth and to arguing that we could actually have a more dynamic and more efficient economy and a fairer society .
482,Liberal,"Since the FDA requires only that these drugs be `` safe '' and more effective than a placebo , and since there are few or no head-to-head studies to compare the relative safety and effectiveness of all these `` me-too 's '' at equivalent doses , each of these markets is open to exploitation and to further expansion through aggressive marketing by the drug manufacturers ."
483,Liberal,A wonkier version of the reform-equals-rationing argument is based less on panic mongering about Obama 's secret euthanasia schemes and more on the implications of something called `` comparative effectiveness research .
484,Liberal,"He will end insurance discrimination against contraception , improve awareness about emergency contraception , and provide compassionate assistance to rape victims ."
485,Liberal,She has decided that teachers ' unions are a good thing because teachers best understand what students need and because organized teachers can best resist the often wrong-headed nostrums of giddy reformers .
486,Liberal,"Race and ethnicity are frequently subtexts and sometimes explicit factors in battles about public education , income security , health-care access , and even about how aggressively to respond to genocide ."
487,Liberal,It is certain that there is no way to reach a truly harmonious civilization with an economic system in which decisions are made by private individuals based on how much capital will be accumulated as well as personal greed and consumerism .
488,Liberal,"The common responsehighlighting that the advantages of nicer neighborhoods ( less crime , more amenities , better transit options ) benefit neighbors new and old alike - is certainly true , but it misses a fundamental concern that many residents are implicitly excluded from these developments or wo n't be around long enough to take advantage of them ."
489,Liberal,But Molyneux suggests a plausible way to fight this battle : by arguing that the Republicans ' plan would cut taxes for the wealthy and reduce spending on popular government programs .
490,Liberal,"Would you rather have hardworking and sometimes brilliant foreigners paying into our Social Security system and making retirement more comfortable for elderly Americans , even as they create jobs for working Americans , or a smaller U.S. ."
491,Liberal,"Ethanol can perfectly well replace gasoline in a tank ; like petroleum , it 's a way of using biology to create energy , and right now it 's a hot commodity , backed with billions of dollars of government subsidies ."
492,Liberal,"A free people must never accept this principle , which can only lead to domination by the artificial entity of the corporation , which is driven by the singular yardstick of profit ."
493,Liberal,"And bad reasoning fulfills the evolutionary purpose as well as good reasoning , if it gets us ahead ."
494,Liberal,"Ultimately , socialism will succeed or fail depending on whether the growing anger against the injustices and failures of the present system can be channeled into such struggles , and whether they can be linked together to create not just a call for change , but a challenge to the ruling order itself ."
495,Liberal,"To pay for that shift , Gates dropped the ax on the Air Force 's beloved next-generation F-22 fighter jet ( price tag : $ 143 million apiece ) as well as the Navy 's DDG-1000 stealth destroyer ( about $ 2 billion ) and an ultra-high-tech Army modernization system slated to cost upward of $ 100 billion ."
496,Liberal,"In this perspective , nature is perceived as external to humans and full of usable material goods for consumption and gain .2 Certainly , there is a link between environmental degradation and social injustice : how people treat nature and how they treat each other is inseparably connected ( ecofeminism ) ."
497,Liberal,"In chapters on sex , family , media , crime and punishment , work , poverty , and patriotism , he deftly outlines how the unbridled pursuit of self-interest in a market economy overwhelms concern for others and the subsidiary moral values that people say they care so much about ."
498,Liberal,"Besides rolling back the Bush tax cuts for the rich , progressives should launch a comprehensive effort to simplify a tax code larded with confusing , overlapping , inequitable , and sometimes ineffective deductions , credits , and other breaks ."
499,Liberal,"Despite the devastation and loss of life caused by the earthquake and tsunami , the people I meet in Fukushima prefecture , rather than talk of those events , discuss radiation levels and how their land has become polluted and made the people fearful as the government tries to convince them it is safe ."
500,Liberal,"Because the diseases that vaccinations prevent pass from person to person ( except for tetanus ) , failure to vaccinate - that is , free riding on the positive vaccination decisions of others - is dangerous to everyone ."
501,Liberal,Members of the Right tried to blame the seeming market failures on government ; in their mind the government effort to push people with low incomes into homeownership was the source of the problem .
502,Liberal,"In a market free from politically secured privilege , it is difficult for people to amass and keep great wealth ."
503,Liberal,"The battle for universal , equal access to care still lies ahead and it wo n't be won until those of us who are victimized by the health-care system have more political clout than those who profit from it ."
504,Liberal,It was because an unregulated mortgage industry created opportunities for people to capitalize on the bundled Wall Street securitizations that caused a huge negative effect .
505,Liberal,"Indeed , there is reason to believe that there is a strong pull on capitalism in its current monopoly-finance phase to seek out more fossil-fuel intensive forms of production the more deeply it falls into the stagnation trap , resulting in repeated attempts to restart the growth engine by , in effect , giving it more gas ."
506,Liberal,"Only the Western occupiers have the planes to fly the opium and heroin to the mob that sells it on the open market , but a steady stream of American and Afghan officials , through useful idiots in the mainstream media , claim that the Taliban alone is behind the trade and profiting from it . ''"
507,Liberal,"The community-based doula programs and the Nurse-Family Partnership are devoted to families who face not only poverty but a range of social problems , including child abuse , substance abuse , and crime ."
508,Liberal,"( They forebodingly add that `` if the rich do not take on this responsibility , they risk provoking the public into a political backlash against the economic system that allowed them to become so wealthy ."
509,Liberal,"By using subcontractors , which removes its direct involvement in production , Nike has been able to take advantage of extreme forms of labor coercion , while defusing much of the criticism associated with such gross exploitation ."
510,Liberal,"Still , tax cuts remained politically popular , and the small-government crowd devised the so-called `` starve-the-beast '' strategy-continue to fight for lower taxes while forcing spending cuts in order to balance the budget ."
511,Liberal,"As Julia Whitty , Michael W. Robbins , and H. Bruce Franklin report in this issue , we are well along in the process of destroying that beneficent wilderness , and destroying , in the process , the ocean 's contribution to the health of our planet ."
512,Liberal,"This means that attacks on it from those who see the opportunity to become very rich in the easiest possible ways , by preying on the public sector , can not be allowed to get out of hand ."
513,Liberal,"It 's an easy way to hitch a ride , but it undermines Democratic leaders ' ability to get the credit their party deserves for having created the programs voters now see as part of the landscape , and to garner citizen support for future programs ."
514,Liberal,"The consequences of this silent war are being felt most severely in the poorest parts of the United States , where low-income families are desperately clutching onto the bottom rungs of the failing economy ."
515,Liberal,"Furthermore , cash-strapped workers have had to turn to the financial markets to make ends meet , and the new instruments that have been an outgrowth of rampant financialization have allowed the banks to take ample advantage of this , in effect , making profits by taking money directly out of the pockets of the working class ."
516,Liberal,"Some of the explosion of consumer debt was the result of overspending and poor financial planning , but much of it simply reflected the reality that families were taking on more risk -- shouldering a precarious burden of mortgage , credit card , and tuition-related debt -- without much higher earnings or a better public safety net to cushion the blow ."
517,Liberal,"Dutch consumers do n't have to worry about paying a lot of money for their health care , even if they are sick , in part because the insurance has very little cost-sharing-and in part because the government continues to play a strong role in setting prices , although it 's been gradually relaxing them ."
518,Liberal,There is no thought of devoting pennies to protect the huge numbers dying from hunger and lack of health care or deprivation of other `` rights '' that are dismissed as `` myths '' and `` dangerous incitement '' by Washington .
519,Liberal,"The very subordination of workers , combined with the market mechanism that ratifies and reinforces it , means that capitalist societies will display ineradicable inequalities in variables of great importance : wealth , income , schooling , health care , housing , child care , and so forth ."
520,Liberal,"Copenhagen will be critical to the success or failure of establishing a practical , binding global plan of action before human-caused climate change reaches the point of no return , creating a cascade of catastrophes ."
521,Liberal,"Privatization allows corporations to cut jobs , cut wages , and cut services all in the name of efficiency while they pocket taxpayer dollars in the form of profits ."
522,Liberal,"As a result , it is losing out on opportunities to attract investment , create manufacturing capabilities , and spur job growth ."
523,Liberal,"`` After all that 's happened , after the worst economic crisis , the worst financial crisis since the Great Depression , they want to return to the same practices that got us into this mess ."
524,Liberal,The extremes of wealth and poverty produced in the fifty years before 1929 generated a critical response .
525,Liberal,"Malthus is also a darling of progressive thought , because his argument that humans cause scarcity is an inspiration for environmentalism , socialism , and other leftist doctrines ."
526,Liberal,"Movements should welcome diversity of all kinds as much as possible , but not at the expense of growth , and create movement relations that sustain members and deepen commitment rather than frustrating members ."
527,Liberal,"Estimates of the potential damage caused by global warming range widely , depending on predictions about how the climate will react to extra carbon dioxide , future economic growth , and , most crucially , the discount rate ."
528,Liberal,"If Blair and Brown can cancel the soap opera before it destroys their careers , perhaps-returning the favor by which Clinton helped Blair devise the triangulations of New Labour-Brown as prime minister can help Americans see the path to a new and vigorous progressivism , in which the benefits of economic growth are broadly shared ."
529,Liberal,"By demonizing unions and the workers they represent , and downplaying the real advances that organized labor has made for all Americans , conservatives have been successful in convincing millions of Americans to vote against their own best interests ."
530,Liberal,"Rather than attack his attackers , Chambers accepted the burden of moral guilt and recast it in the rhetoric of high sacrifice : `` The story has spread that in testifying against Mr. Hiss I am working out some old grudge , or motives of revenge or hatred ."
531,Liberal,"Gore , in the meantime , actually thinks the world is turning his way , telling USA Today : `` What 's different in business audiences in the past year or so is a new and widespread receptivity , a keen awareness , an eagerness on the part of large numbers to find out how they can take a leadership position ."
532,Liberal,"Because the economy must remain in continual motion , Jevons disregarded sustainable sources of energy , such as water and wind , as unreliable , limited to a particular time and location .26 Coal offered capital a universal energy source to operate production , without disruption of business patterns ."
533,Liberal,There is another way to stop anger over the WikiLeaks document dumps from turning into an assault on the First Amendment .
534,Liberal,"But to make your argument convincing you need to offer an explanation for why financial elites became `` more serious , systematic , and ideologically single-minded about dismantling the mixed economy '' over the last three decades , and not before ."
535,Liberal,Johnston shows why lowincome people using the earned income tax credit are far more likely to be audited than rich people using baroque tax shelters .
536,Liberal,"Rulers , dependent on the majority , like Mugabe on his Shona , will then use the law or vigilante justice to reward the people on whom they depend for power , by stripping the minority of its wealth and condoning the humiliation of and violence against that minority ."
537,Liberal,"While we can not agree with the likes of Dr. Joel Waldvogel , economist at the University of Pennsylvania 's Wharton School , whose aptly titled book Scroogenomics casts serious doubt on the entire Christmas gift-giving phenomenon , we are surely better off without the excess of holiday spending fueled by an artificial credit boom . ''"
538,Liberal,"It used to be popular to argue that the European scientific revolution of the 17th century unleashed the rational curiosity of the educated classes , whose theories were then applied in the form of new technologies , which in turn allowed standards of living to rise ."
539,Liberal,"Indeed , despite the lack of real security benefits , publication of a single story illustrating that a heinous killer was caught via video can justify almost any infringement upon the privacy of ordinary citizens ."
540,Liberal,"By contrast , the huge social costs are readily apparent -- in terms of direct financial rescues , the fiscal stimulus needed to prevent another Great Depression , and the appalling number of lost jobs ( eight million gone since December 2007 , and still counting ) ."
541,Liberal,"As a result , the AMT is less effective in making the super rich pay their fair share than it ought to be ."
542,Liberal,Confusing the cause of free markets with the cause of democracy is astounding given the overwhelming evidence that the latest free market jubilee has disenfranchised ever larger segments of the world body politic .
543,Liberal,"families lost $ 7 trillion in stock wealth during the recession that followed .9 Those nearing retirement age face frightening prospects as it stands , with the value of their homes and IRAs in the tank , but they would have been truly screwed if not for the modest but guaranteed income afforded by Social Security ."
544,Liberal,"As crazy as it sounds , these folks want higher energy prices because they believe that will force Americans to drive less and businesses to slow down on production and transportation , which they think is a good thing , but which in fact will only cost us more jobs and put us at a greater economic disadvantage against China ."
545,Liberal,"Military confrontation , on the other hand , has only a certainty of creating a loss for all ."
546,Liberal,"In the Illinois State Senate , Barack Obama led the successful effort to create the $ 100 million Illinois Earned Income Tax Credit ( EITC ) ."
547,Liberal,Both plans promote a switch to clean energy and could still ease the impact on workers if the auction of pollution credits is used to create jobs .
548,Liberal,"They attacked the ship using French missiles , killed a few dozen sailors , and got a slight tap on the wrist , but nothing beyond that ."
549,Liberal,"Jean Ziegler , special UN reporter on food , concluded that while the argument for biofuels , in her opinion , in terms of energy efficiency and climate change is legitimate , the effects of growing food for fuel on the world 's hungry population are `` absolutely catastrophic , '' and she considers the use of arable land for that purpose a `` crime against humanity ."
550,Liberal,"Besides acidification , there are serious effects on fundamental biological productivity , since warming surface layers makes them circulate less with cooler , lower waters , thus increasing ocean `` stratification ."
551,Liberal,"Courts have held that government may not use its contracting power to punish companies that violate the Wagner Act 's right-to-organize provisions , since that act is intended to be the prime legal structure for collective bargaining - though it is notable for not being enforced ."
552,Liberal,"The issues that these Web sites put before employees-repealing the `` death tax , '' expanded oil drilling , tort reform-may serve the short-term benefit of investors , but the consequent fiscal debacle , radical income inequality , healthcare mess , energy insecurity , and overall level of risk is a great danger to future economic prosperity ."
553,Liberal,"A few states , recognizing the problems with public registries , have tried to develop legal solutions that both protect offenders from abuse and reduce sexual violence ."
554,Liberal,"On this 70th anniversary , we renew our commitment to save and strengthen Social Security for our children and grandchildren , and keep the promise of Social Security for future generations ."
555,Liberal,"introduced the America 's Climate Security Act of 2007 ( S. 2191 ) in the last Congress , the Heritage Foundation warned , `` All such climate change measures warrant careful scrutiny , as they would likely increase energy costs and do considerably more economic harm than environmental good ."
556,Liberal,"In a review of an album dealing almost entirely with working-class issues at an absolutely critical historical juncture , the Pitchfork reviewer makes no note of the radical , bipartisan attack on working people ( and their organizations and communities ) underway across the country , intensifying in recent years ."
557,Liberal,What they then do is use it to elect people who support them and to unelect people who oppose their agenda and they use their political power to get legislation passed which makes the wealthy even wealthier .
558,Liberal,"Yet although the necessity of education and labor-market policies to bring more disadvantaged youth into productive and remunerative employment is self-evident , it is naive to expect skill enhancement alone either to create jobs or to ensure that the jobs created are sufficiently compensated to narrow inequality ."
559,Liberal,"Beyond monitoring how the government is mopping up after the financial crisis , Warren is pushing a proposal that could help prevent the next one : creating a Financial Product Safety Commission to protect consumers from abusive lenders ."
560,Liberal,"Despite the recent outbreak of party unity on Social Security , the Republican message machine keeps taunting Nancy Pelosi because upward of 40 House Democrats defected on the estate-tax repeal , the bankruptcy bill , and the assault on the right to sue ."
561,Liberal,Liberals can appeal to Americans ' fear about falling behind in terms of education and nurture a culture that respects learning-that lashes back at attacks made on teachers or that characterizes thoughtfulness and reflection as indecisiveness ( a theme of the 2004 presidential campaign ) .
562,Liberal,"Notable among them is David Cutler , a highly respected Harvard economist , whose book Your Money or Your Life makes a powerful argument that spending a lot of money on health care is frequently worth it -- specifically , that investments in areas like neonatal and cardiovascular care have produced longer and healthier lives , more than justifying their exorbitant price tags ."
563,Liberal,"As Burgin writes , `` economists who supported free markets were not so eager as in former years ... to validate certain modes of government intervention and to emphasize the need for philosophical justifications for free markets that extended beyond the material abundance they ostensibly produced ."
564,Liberal,"Seizing on projected deficits as their rationale , Republicans have called for a drastic solution : eliminating the traditional , public Medicare program in favor of a voucher for private insurance , which would save the government money by paying a diminished share of health costs and shifting more of the burden to seniors ."
565,Liberal,"In 1928 , Percy Viosca Jr. , a scientist working for the state of Louisiana wrote , `` Reclamation and flood control as practiced in Louisiana have been more or less a failure , destroying valuable natural resources without producing the permanent compensating benefits originally desired ."
566,Liberal,"The union wage premium has diminished , and unions have had to fight defensive battles to slow the decline in health care and pension coverage , and to shift the costs and risks of these benefit plans from employers to workers . ''"
567,Liberal,"Although the term was not in use at the time of its creation , the word `` fascist '' perfectly describes the Federal Reserve System : the Fed is a cartel of private banking interests allied with the central government in a corrupt and mutually enriching entente against the public interest , backed by brute force ."
568,Liberal,"But as he acknowledges , addressing stereotype threat will not affect the underlying problems of poverty , lack of access to good schooling , or estrangement from profitable social networks and other forms of social capital ."
569,Liberal,"It is both a political and an economic fact that if we want to win the fight on climate change , we have to do it in a way that also builds a stronger economy and more opportunity for workers ."
570,Liberal,"It includes in one network of actions and reactions patterns of disease , relations of production and reproduction , demography , our depletion and wanton destruction of natural resources , changing land use and settlement , and planetary climate change ."
571,Liberal,We have no choice but to talk about the military industrial complex and its ties to huge private-sector monopolies and war barons who produce weaponry and employ privatized security personnel at salaries that far exceed what we pay government military personnel for the same services .
572,Liberal,"Said one top Obama campaign fund-raiser : `` For Republicans , if you say that God created Earth for the purpose of facilitating capitalism and how capitalists use their money will create the best outcomes for society , ... then they 're not going to have inhibitions about spending their money that way ."
573,Liberal,"Most greedy bastards , given an environment based on VICI values , might make very different choices ."
574,Liberal,"One option for state treasurers would be to argue that big , undisclosed contributions from hedge fund and private equity partners are undermining U.S. democracy -- and a weakened democracy is bad for the economy and all investment returns ."
575,Liberal,"Likewise , scientists have noted that NOAA 's current policy of sharing BP 's spill data was driven by loud public demands for openness and BP probably would n't have been so eager to hide the crude underwater if it thought no one cared about the environment ."
